timestamp,src_ip,dst_ip,src_port,dst_port,protocol,tcp_flags,packets,bytes,duration,iat_mean,ttl,retransmissions,risk_score,risk
2026-09-23 14:15:00.561730556,10.0.2.21,10.0.4.39,17078,110,TCP,PSH-ACK,10,8715,0.724,0.262,255,1,0.112,LOW
2026-09-23 14:15:00.646734439,10.0.2.3,10.0.4.6,1209,123,UDP,FIN-ACK,6,2627,0.192,0.628,64,1,0.019,LOW
2026-09-23 14:15:00.697624213,10.0.2.24,10.0.4.47,1928,80,TCP,SYN,13,6128,1.43,0.341,128,0,0.027,LOW
2026-09-23 14:15:00.774743938,10.0.2.4,10.0.4.29,28629,25,ICMP,PSH-ACK,13,4049,0.804,1.886,64,2,0.104,LOW
2026-09-23 14:15:00.976904963,10.0.2.41,10.0.4.5,40862,139,TCP,ACK,9,1187,0.175,0.279,64,1,0.086,LOW
2026-09-23 14:15:01.035514868,10.0.2.27,10.0.4.26,1832,25,TCP,ACK,5,2770,0.055,0.763,64,2,0.081,LOW
2026-09-23 14:15:01.064225756,10.0.2.17,10.0.4.28,13944,8080,TCP,ACK,9,3146,1.747,1.44,64,1,0.046,LOW
2026-09-23 14:15:01.146150261,10.0.2.22,10.0.4.7,59715,110,TCP,ACK,15,8763,0.52,0.651,128,0,0.16,LOW
2026-09-23 14:15:01.370420299,10.0.2.28,10.0.4.62,64894,3306,TCP,ACK,17,8956,0.427,0.114,128,0,0.029,LOW
2026-09-23 14:15:01.376110100,10.0.2.12,10.0.4.15,42428,3306,TCP,FIN-ACK,8,1937,2.22,0.132,64,0,0.01,LOW
2026-09-23 14:15:01.393336903,10.0.2.14,10.0.4.22,34677,80,TCP,ACK,10,4477,1.286,0.086,64,0,0.098,LOW
2026-09-23 14:15:01.601914037,10.0.2.19,10.0.4.28,38634,53,UDP,PSH-ACK,10,3187,0.174,0.563,64,0,0.091,LOW
2026-09-23 14:15:01.776589752,10.0.2.12,10.0.4.52,24924,8080,TCP,FIN-ACK,11,2875,0.305,0.437,128,1,0.174,LOW
2026-09-23 14:15:01.964019621,10.0.2.33,10.0.4.47,14028,8080,TCP,FIN-ACK,7,4945,0.18,0.447,255,0,0.38,MEDIUM
2026-09-23 14:15:01.983915475,10.0.2.6,10.0.4.49,25276,80,TCP,PSH-ACK,9,630,1.344,0.694,64,0,0.133,LOW
2026-09-23 14:15:02.158418237,10.0.2.36,10.0.4.16,46178,993,TCP,FIN-ACK,14,4002,1.389,0.077,128,0,0.085,LOW
2026-09-23 14:15:02.247258384,10.0.2.16,10.0.4.53,43770,53,UDP,ACK,9,4555,2.528,0.805,64,0,0.165,LOW
2026-09-23 14:15:02.472996426,10.0.2.25,10.0.4.52,44714,8080,TCP,ACK,10,4599,0.4,0.007,64,0,0.045,LOW
